Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,Effectiveness
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.17,0.17,600,False,33,0.030303030303030304
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.134,0.134,600,False,33,0.030303030303030304
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.121,0.121,600,False,33,0.030303030303030304
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.129,0.13,600,False,33,0.030303030303030304
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.121,0.122,600,False,33,0.030303030303030304
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.133,0.133,600,False,33,0.030303030303030304
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.165,0.165,600,False,33,0.030303030303030304
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.136,0.136,600,False,33,0.030303030303030304
addedVarsHumanoid458,10,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableE5.spectra,1,1,0.119,0.119,600,False,33,0.030303030303030304
addedVarsHumanoid458,1,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,2,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.017,0.017,600,False,2,0.5
addedVarsHumanoid458,3,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,4,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.014,0.014,600,False,2,0.5
addedVarsHumanoid458,5,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,6,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.016,0.016,600,False,2,0.5
addedVarsHumanoid458,7,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.016,0.017,600,False,2,0.5
addedVarsHumanoid458,8,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.018,0.018,600,False,2,0.5
addedVarsHumanoid458,9,inputs-scalability-JVTS/addedVarsHumanoid458/HumanoidLTL_458_Humanoid_fixed_unrealizableS1.spectra,1,1,0.017,0.017,600,False,2,0.5
