Benchmark,Filename,DepthToFirst,DuplicateNodes,Effectiveness,MaxDepth,MinNumVariables,NodesExplored,NodesToFirst,NumFullyNonIOSeparable,NumInterpolantsComputed,NumNonStateSeparable,NumRepairs,NumYUnsat,RefsPerDepth,Runtime,TimeToFirst,TimedOut,TotalTimeCounterstrategy,TotalTimeCounterstrategyComputed,TotalTimeGenerationMethod,UniqueEffectiveness,UniqueNodesExplored,UniqueSols,Runs
SYNTECH15-1UNREAL,PcarLTL_860_PCar_fixed_2.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,659.829356617498,,1.0,0.0,659.829356617498,0.0,,1.0,0.0,10
SYNTECH15-UNREAL,ColorSortLTL3_689_ColorSort_fixed_unrealizable.spectra,,0.0,,0.0,,1.0,,1.0,1.0,0.0,0.0,0.0,1.0,1.507608962100494,,0.0,0.23117230269926944,0.23117230269926944,0.06336575919995079,,1.0,0.0,10
SYNTECH15-UNREAL,ColorSortLTLUnrealizable1_790_ColorSort_unrealizable.spectra,5.0,0.0,0.00025906735751295336,5.0,7.0,410.4,364.0,31.8,410.3,2.5,0.1,0.0,68.4,602.4573623103003,456.3079860229991,1.0,465.4490499377105,471.5322642064108,75.98051773232801,0.00025906735751295336,410.4,0.1,10
SYNTECH15-UNREAL,ColorSortLTLUnrealizable2_791_ColorSort_unrealizable.spectra,,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,659.1257838540005,,1.0,0.0,659.1257838540005,0.0,,1.0,0.0,10
SYNTECH15-UNREAL,GyroUnrealizable_Var1_710_GyroAspect_unrealizable.spectra,1.0,0.0,0.6799999999999999,1.8,2.0,5.4,2.2,0.0,1.8,0.0,2.8,0.8,1.9,0.43547104129975195,0.2476243827011785,0.0,0.061065100799896674,0.061065100799896674,0.11379663449915818,0.6799999999999999,5.4,2.8,10
SYNTECH15-UNREAL,GyroUnrealizable_Var2_710_GyroAspect_unrealizable.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2590943241004424,0.25320473250030767,0.0,0.08952273660179338,0.08952273660179338,0.06130684129893775,1.0,2.0,1.0,10
SYNTECH15-UNREAL,HumanoidLTL_458_Humanoid_fixed_unrealizable.spectra,1.0,0.0,0.6666666666666666,2.0,3.0,4.0,2.5,0.0,2.0,0.0,2.0,0.0,1.3333333333333333,0.39581998679932434,0.2647401868001907,0.0,0.051196230801724515,0.051196230801724515,0.10020942919654763,0.6666666666666666,4.0,2.0,10
SYNTECH15-UNREAL,HumanoidLTL_503_Humanoid_fixed_unrealizable.spectra,,2.3,0.0,7.1,,2149.3,,0.0,2027.2,0.0,0.0,114.2,250.60694444444442,600.5192458433048,,1.0,73.35028682820258,115.26317291570949,346.2517954246083,0.0,2149.3,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_531_Humanoid_unrealizable.spectra,,0.0,,0.0,,1.0,,0.0,1.0,0.5,0.0,0.0,1.0,7.231424437300302,,0.0,7.000038191201019,7.000038191201019,0.06400988259847507,,1.0,0.0,10
SYNTECH15-UNREAL,HumanoidLTL_713_Humanoid_unrealizable.spectra,3.0,0.0,0.5,3.0,2.0,15.0,8.1,0.0,7.0,0.0,7.0,0.0,3.75,2.041788204800105,1.3584185306004657,0.0,0.16659420300275057,0.16659420300275057,0.3994169060992132,0.5,15.0,7.0,10
SYNTECH15-UNREAL,HumanoidLTL_741_Humanoid_unrealizable.spectra,1.0,0.0,1.0,0.2,1.0,1.2,2.0,0.0,1.0,0.6,0.2,0.0,1.0,0.39304134080011865,0.5016067305041361,0.0,0.20476429080081285,0.20476429080081285,0.06154070600023257,1.0,1.2,0.2,10
SYNTECH15-UNREAL,HumanoidLTL_742_Humanoid_unrealizable.spectra,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.4,1.0,0.0,1.0,0.0,1.0,0.2699451545995543,0.26506587730036696,0.0,0.04897793979980628,0.04897793979980628,0.060620455701427954,1.0,2.0,1.0,10
