Benchmark,Run,Filename,NumRepairs,RepairLimit,TimeToFirst,Runtime,Timeout,TimedOut,NodesExplored,DuplicateNodes,NumInterpolantsComputed,NumNonStateSeparable,Effectiveness,NodesToFirst,DepthToFirst,NumYUnsat,NumYUnsatNoFalse,NumFullyNonIOSeparable,MinNumVariables
AMBA-1,7,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,708.1647582640871,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,709.6652272129431,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,9,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,708.3836087119998,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,10,inputs/AMBA-1/amba08_no_safety.spectra,0,-1,,707.5402246700833,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,1,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,835.875372585986,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,2,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,834.640806718031,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,3,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,841.2265727039194,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,4,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,833.8409458609531,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,5,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,835.8364816709654,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,6,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,834.2470614119957,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,7,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,838.2729185509961,600.0,True,1,0,0,0,0.0,,,0,0,0,
AMBA-1,8,inputs/AMBA-1/amba08_no_safety_0.spectra,0,-1,,841.7530478350818,600.0,True,1,0,0,0,0.0,,,0,0,0,
